exp	tok_per_sec	vram_peak_mb	n_ctx	type_k	type_v	flash_attn	n_gpu_layers	n_batch	n_ubatch	notes	status	description
45	11.558	7695	512	q8_0	q4_0	True	16	64	128	best_batch+asym	discard	batch64/128, q8_0K/q4_0V, n_gpu=16
46	10.420	7703	512	q8_0	q8_0	True	16	64	128	best+op_offload	discard	batch64/128, q8_0 KV, op_offload
47	10.129	7703	512	q8_0	q8_0	True	16	64	128	best+swa_full	discard	batch64/128, q8_0 KV, swa_full
48	11.122	7703	512	q8_0	q8_0	True	16	64	128	best+both	discard	batch64/128, q8_0 KV, op_offload+swa_full
49	11.483	7697	512	f16	f16	False	16	64	64	no_flash	discard	f16 KV, no flash_attn, n_gpu=16, batch=64/64
50	9.787	6955	512	q8_0	q8_0	True	14	48	48	n_gpu14	discard	n_gpu=14, batch=48/48, q8_0 KV
51	10.738	6955	512	q8_0	q8_0	True	14	56	56	n_gpu14	discard	n_gpu=14, batch=56/56, q8_0 KV
52	9.633	6955	512	q8_0	q8_0	True	14	64	64	n_gpu14	discard	n_gpu=14, batch=64/64, q8_0 KV
53	11.218	6955	512	q8_0	q8_0	True	14	72	72	n_gpu14	discard	n_gpu=14, batch=72/72, q8_0 KV
54	11.154	6955	512	q8_0	q8_0	True	14	80	80	n_gpu14	discard	n_gpu=14, batch=80/80, q8_0 KV
55	10.122	6955	512	q8_0	q8_0	True	14	64	128	n_gpu14+asym	discard	n_gpu=14, batch=64/128, q8_0 KV
56	11.122	7703	512	q8_0	q8_0	True	16	64	64	thread_tune	discard	n_threads=9, n_gpu=16, batch=64/64, q8_0 KV
57	11.771	7703	512	q8_0	q8_0	True	16	64	64	thread_tune	discard	n_threads=11, n_gpu=16, batch=64/64, q8_0 KV
58	10.809	7703	512	q8_0	q8_0	True	16	64	128	best_threads	discard	n_threads=9, batch=64/128, q8_0 KV
59	11.684	7703	512	q8_0	q8_0	True	16	64	128	best_threads	discard	n_threads=11, batch=64/128, q8_0 KV
60	10.799	7703	512	q8_0	q8_0	True	16	64	64	gen512	discard	gen=512tok, n_gpu=16, batch=64/64, q8_0 KV
61	0.000	0	512	q8_0	q8_0	True	16	64	128	gen512_best|OOM	OOM	gen=512tok, batch=64/128, q8_0 KV — OOM: Failed to load model from file: models/Qwen3.5-35B-A3B-Q3_K_M.gguf
62	10.745	7703	512	q8_0	q8_0	True	16	64	128	variance	discard	baseline retest 1 (variance)
63	11.417	7703	512	q8_0	q8_0	True	16	64	128	variance	discard	baseline retest 2 (variance)
64	11.441	7703	512	q8_0	q8_0	True	16	64	128	variance	discard	baseline retest 3 (variance)
65	11.321	7705	1024	q8_0	q8_0	True	16	64	128	best_ctx	discard	batch64/128, q8_0 KV, n_ctx=1024
66	10.689	7709	2048	q8_0	q8_0	True	16	64	128	best_ctx	discard	batch64/128, q8_0 KV, n_ctx=2048
67	11.344	7717	4096	q8_0	q8_0	True	16	64	128	best_ctx	discard	batch64/128, q8_0 KV, n_ctx=4096
68	11.336	7707	2048	q8_0	q8_0	True	16	32	32	safe_ctx	discard	n_ctx=2048, batch=32/32, q8_0 KV (safe ctx test)
69	11.432	7715	4096	q8_0	q8_0	True	16	32	32	safe_ctx	discard	n_ctx=4096, batch=32/32, q8_0 KV (safe ctx test)
70	1.256	7825	8192	q8_0	q8_0	True	16	32	32	safe_ctx_long	discard	n_ctx=8192, batch=32/32, q8_0 KV (safe ctx, long prompt)
71	0.000	0	16384	q8_0	q8_0	True	16	32	32	safe_ctx_long|NO_JSON	NO_JSON	n_ctx=16384, batch=32/32, q8_0 KV (safe ctx, long prompt) — NO_JSON: rc=-6, stderr= utilized
/home/runner/work/llama-cpp-python/llama-cpp-python/vend
72	1.236	7812	8192	q4_0	q4_0	True	16	32	32	min_vram_ctx	discard	n_ctx=8192, batch=32/32, q4_0 KV (min VRAM ctx)
73	0.000	0	16384	q4_0	q4_0	True	16	32	32	min_vram_ctx|NO_JSON	NO_JSON	n_ctx=16384, batch=32/32, q4_0 KV (min VRAM ctx) — NO_JSON: rc=-6, stderr= utilized
/home/runner/work/llama-cpp-python/llama-cpp-python/vend
74	0.000	0	32768	q4_0	q4_0	True	16	32	32	max_ctx|NO_JSON	NO_JSON	n_ctx=32768, batch=32/32, q4_0 KV (max ctx) — NO_JSON: rc=-6, stderr= utilized
/home/runner/work/llama-cpp-python/llama-cpp-python/vend
75	11.494	7708	512	q8_0	q8_0	True	16	64	96	ubatch_tune	discard	batch=64/96, q8_0 KV, n_gpu=16
76	11.315	7708	512	q8_0	q8_0	True	16	64	192	ubatch_tune	discard	batch=64/192, q8_0 KV, n_gpu=16
77	11.433	7710	512	q8_0	q8_0	True	16	96	128	ubatch_tune	discard	batch=96/128, q8_0 KV, n_gpu=16
78	10.628	7710	512	q8_0	q8_0	True	16	96	96	combo2	discard	batch=96/96+op_offload, q8_0 KV, n_gpu=16
79	11.043	7700	512	iq4_nl	iq4_nl	True	16	64	128	best_batch+iq4nl	discard	batch64/128, iq4_nl KV, n_gpu=16
80	11.757	7710	512	q8_0	q8_0	True	16	96	128	batch_explore	discard	batch=96/128, q8_0 KV, n_gpu=16
81	11.855	7708	512	q8_0	q8_0	True	16	48	128	batch_explore	discard	batch=48/128, q8_0 KV, n_gpu=16
82	11.521	7701	512	q8_0	q8_0	True	16	32	128	batch_explore	discard	batch=32/128, q8_0 KV, n_gpu=16
83	11.259	7327	512	q8_0	q8_0	True	15	64	128	n_gpu15	discard	n_gpu=15, batch=64/128, q8_0 KV
84	11.003	7327	512	q8_0	q8_0	True	15	64	64	n_gpu15	discard	n_gpu=15, batch=64/64, q8_0 KV
85	11.868	7703	512	q8_0	q8_0	True	16	64	128	variance	discard	retest best 4 (variance)
86	11.767	7703	512	q8_0	q8_0	True	16	64	128	variance	discard	retest best 5 (variance)
87	10.338	7737	8192	q8_0	q8_0	True	16	64	128	n_ctx_8192_upgrade_verify	ok	n_gpu=16, batch=64/128, q8_0 KV, n_ctx=8192 — no segfault after vram clear
